ID,My heat pump keeps my house warm.,My heat pump is expensive to run.,I received a good handover from the installer.,I understand how to operate my heat pump.,"My heat pump is cheaper to run than my previous heating system. (By cheaper we refer to cost per unit of electricity used, despite the electricity price fluctuations).",My heat pump is reliable. (i.e. it doesn’t break down.),I know what data is collected from my home through the heat pump.
3,Agree,Disagree,Agree,Agree,Neutral,Strongly agree,Neutral
4,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral
6,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree
8,Strongly agree,Agree,Strongly Disagree,Disagree,Neutral,Agree,Neutral
9,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral
10,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree
11,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Agree,Agree
12,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree
13,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree
14,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree
15,Strongly agree,Neutral,Neutral,Agree,Disagree,Agree,Agree
16,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree
17,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly Disagree
19,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree
20,Strongly agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral
22,Strongly agree,Strongly Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree
23,Agree,Strongly agree,Strongly Disagree,Neutral,Disagree,Neutral,Disagree
25,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree
26,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
28,Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly agree,Agree
29,Strongly agree,Strongly Disagree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree
30,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
31,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Neutral
32,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
33,Agree,Neutral,Agree,Disagree,Agree,Neutral,Strongly Disagree
34,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree
35,Strongly agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree